IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
45.66.217.145,50013,443,true,HKG,Asia Pacific,Hong Kong,3,14.84
23.247.139.3,443,0,true,HKG,Asia Pacific,Hong Kong,11,12.45
47.242.176.237,8080,0,false,HKG,Asia Pacific,Hong Kong,13,10.97
154.197.92.68,889,80,false,HKG,Asia Pacific,Hong Kong,13,10.09
202.139.228.24,12321,0,true,HKG,Asia Pacific,Hong Kong,13,9.45
154.197.92.88,889,80,false,HKG,Asia Pacific,Hong Kong,13,8.39
156.251.176.48,13519,0,true,HKG,Asia Pacific,Hong Kong,5,7.23
45.39.198.83,56765,0,true,HKG,Asia Pacific,Hong Kong,13,7.21
47.76.37.57,80,0,false,HKG,Asia Pacific,Hong Kong,11,7.09
47.76.49.246,8880,8880,false,HKG,Asia Pacific,Hong Kong,3,6.50
103.235.18.153,10020,0,true,HKG,Asia Pacific,Hong Kong,11,5.82
47.76.49.246,8080,0,false,HKG,Asia Pacific,Hong Kong,13,5.23
151.145.69.105,2095,2095,false,HKG,Asia Pacific,Hong Kong,11,5.22
39.126.188.174,30062,0,true,ICN,Asia Pacific,Seoul,11,5.00
195.245.241.123,26876,443,true,SIN,Asia Pacific,Singapore,11,4.78
47.242.176.237,8443,0,true,HKG,Asia Pacific,Hong Kong,11,4.61
39.126.160.150,16330,0,true,ICN,Asia Pacific,Seoul,13,4.58
103.20.223.126,4525,0,true,HKG,Asia Pacific,Hong Kong,11,4.37
47.76.37.57,2096,0,true,HKG,Asia Pacific,Hong Kong,13,4.27
23.91.98.167,34237,0,true,HKG,Asia Pacific,Hong Kong,13,3.88
45.66.217.121,59597,443,true,HKG,Asia Pacific,Hong Kong,13,3.83
23.225.133.84,41698,80,false,HKG,Asia Pacific,Hong Kong,2,2.40
39.126.160.150,38099,0,true,ICN,Asia Pacific,Seoul,11,2.17
8.210.3.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,12,1.87
23.225.133.86,41698,0,true,HKG,Asia Pacific,Hong Kong,8,1.81
27.109.170.8,26876,443,true,HKG,Asia Pacific,Hong Kong,3,1.76
27.109.170.8,12136,0,true,HKG,Asia Pacific,Hong Kong,11,1.55
60.246.180.236,32544,0,true,HKG,Asia Pacific,Hong Kong,11,1.54
103.20.223.171,37811,0,true,HKG,Asia Pacific,Hong Kong,13,1.31
23.225.133.66,41698,0,false,HKG,Asia Pacific,Hong Kong,11,1.26
23.225.133.69,41698,0,false,HKG,Asia Pacific,Hong Kong,13,1.16
45.145.228.82,19981,0,true,HKG,Asia Pacific,Hong Kong,6,1.03
192.151.255.7,41698,0,true,HKG,Asia Pacific,Hong Kong,13,0.89
23.225.133.77,41698,0,false,HKG,Asia Pacific,Hong Kong,11,0.51
8.217.147.230,80,0,false,HKG,Asia Pacific,Hong Kong,13,0.30
111.118.43.151,19086,443,true,SIN,Asia Pacific,Singapore,13,0.25
8.217.147.230,2087,0,true,HKG,Asia Pacific,Hong Kong,11,0.13
103.149.27.36,34237,2096,true,HKG,Asia Pacific,Hong Kong,2,0.10
152.32.252.175,8969,0,true,HKG,Asia Pacific,Hong Kong,13,0.08
165.154.68.98,43472,0,true,HKG,Asia Pacific,Hong Kong,11,0.04
8.217.147.230,2095,2095,false,HKG,Asia Pacific,Hong Kong,11,0.00
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,11,0.00
8.218.105.223,80,80,false,HKG,Asia Pacific,Hong Kong,13,0.00
161.81.184.55,37344,80,false,HKG,Asia Pacific,Hong Kong,13,0.00
47.76.37.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,4,0.00
103.20.223.100,12546,443,true,HKG,Asia Pacific,Hong Kong,13,0.00
154.197.92.80,889,80,false,HKG,Asia Pacific,Hong Kong,13,0.00
49.142.6.108,21822,80,false,HKG,Asia Pacific,Hong Kong,11,0.00
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,11,0.00
47.76.37.57,2052,2052,false,HKG,Asia Pacific,Hong Kong,2,0.00
47.242.176.237,80,80,false,HKG,Asia Pacific,Hong Kong,11,0.00
