IP地址,端口,TLS,数据中心,地区,城市,网络延迟,测速 MB/s
206.237.120.107,443,true,NRT,Asia Pacific,Tokyo,3 ms,16.73
45.32.99.51,443,true,SIN,Asia Pacific,Singapore,4 ms,15.72
199.15.79.11,443,true,HKG,Asia Pacific,Hong Kong,6 ms,14.71
38.207.130.152,443,true,NRT,Asia Pacific,Tokyo,2 ms,11.55
38.47.114.55,34237,true,LAX,North America,Los Angeles,5 ms,10.44
139.162.8.80,443,true,SIN,Asia Pacific,Singapore,1 ms,9.65
139.162.138.171,2083,true,FRA,Europe,Frankfurt,2 ms,9.14
139.162.138.171,2053,true,FRA,Europe,Frankfurt,0 ms,8.65
175.202.252.159,34237,true,ICN,Asia Pacific,Seoul,4 ms,8.63
173.242.124.213,443,true,LAX,North America,Los Angeles,0 ms,8.49
149.202.103.250,2053,true,CDG,Europe,Paris,0 ms,8.33
146.70.175.109,443,true,AMS,Europe,Amsterdam,2 ms,8.08
146.70.175.122,443,true,AMS,Europe,Amsterdam,3 ms,7.99
213.210.39.237,2087,true,CDG,Europe,Paris,1 ms,7.76
103.106.228.67,8443,true,NRT,Asia Pacific,Tokyo,12 ms,7.66
38.47.112.31,34237,true,LAX,North America,Los Angeles,0 ms,7.02
164.92.107.53,8443,true,SJC,North America,San Jose,7 ms,6.93
188.165.26.154,8443,true,LHR,Europe,London,1 ms,6.87
38.207.166.77,34237,true,LAX,North America,Los Angeles,1 ms,6.79
51.83.170.37,8443,true,WAW,Europe,Warsaw,3 ms,6.65
164.132.222.110,8443,true,FRA,Europe,Frankfurt,0 ms,6.48
172.252.146.227,34237,true,LAX,North America,Los Angeles,4 ms,6.48
146.70.175.187,443,true,AMS,Europe,Amsterdam,6 ms,6.43
38.180.101.203,8443,true,PRG,Europe,Prague,0 ms,6.35
146.70.175.121,443,true,AMS,Europe,Amsterdam,2 ms,6.19
162.19.247.5,2053,true,FRA,Europe,Frankfurt,1 ms,5.79
5.144.181.69,8443,true,LHR,Europe,London,3 ms,5.66
38.47.113.150,34237,true,LAX,North America,Los Angeles,1 ms,5.62
164.132.80.19,2053,true,LHR,Europe,London,0 ms,5.54
38.47.113.155,34237,true,LAX,North America,Los Angeles,1 ms,5.26
146.70.175.172,443,true,AMS,Europe,Amsterdam,0 ms,4.98
103.113.69.25,2053,true,WAW,Europe,Warsaw,14 ms,4.96
162.19.247.5,8443,true,FRA,Europe,Frankfurt,1 ms,4.88
51.75.84.90,8443,true,FRA,Europe,Frankfurt,3 ms,4.79
45.67.35.48,34237,true,AMS,Europe,Amsterdam,2 ms,4.54
94.131.102.150,34237,true,OTP,Europe,Bucharest,1 ms,4.53
209.38.175.221,8443,true,SJC,North America,San Jose,3 ms,4.49
146.70.175.176,443,true,AMS,Europe,Amsterdam,12 ms,4.48
45.153.229.108,2053,true,OTP,Europe,Bucharest,2 ms,4.48
164.90.149.161,8443,true,SJC,North America,San Jose,0 ms,4.13
213.159.68.140,2053,true,HEL,Europe,Helsinki,0 ms,4.10
103.113.69.46,443,true,WAW,Europe,Warsaw,14 ms,4.09
164.92.157.131,2053,true,AMS,Europe,Amsterdam,7 ms,4.02
38.47.114.80,34237,true,LAX,North America,Los Angeles,5 ms,3.98
64.227.116.30,443,true,FRA,Europe,Frankfurt,0 ms,3.93
5.161.143.222,8443,true,IAD,North America,Ashburn,2 ms,3.92
104.248.101.143,2053,true,FRA,Europe,Frankfurt,0 ms,3.89
209.38.190.93,8443,true,FRA,Europe,Frankfurt,3 ms,3.88
164.92.105.244,2053,true,SJC,North America,San Jose,2 ms,3.85
164.90.238.130,8443,true,FRA,Europe,Frankfurt,1 ms,3.83
51.195.170.71,34237,true,LHR,Europe,London,0 ms,3.79
38.47.114.85,34237,true,LAX,North America,Los Angeles,5 ms,3.76
164.92.145.208,8443,true,AMS,Europe,Amsterdam,4 ms,3.74
38.242.229.125,8443,true,DUS,Europe,Düsseldorf,5 ms,3.66
164.92.157.131,8443,true,AMS,Europe,Amsterdam,5 ms,3.62
38.180.110.184,2053,true,WAW,Europe,Warsaw,1 ms,3.53
51.195.69.17,8443,true,FRA,Europe,Frankfurt,3 ms,3.53
45.153.230.77,2053,true,FRA,Europe,Frankfurt,3 ms,3.51
45.144.49.87,2053,true,WAW,Europe,Warsaw,10 ms,3.50
164.92.105.244,8443,true,SJC,North America,San Jose,2 ms,3.46
5.161.23.51,2053,true,IAD,North America,Ashburn,0 ms,3.44
164.90.193.36,2087,true,AMS,Europe,Amsterdam,2 ms,3.38
206.189.107.82,443,true,AMS,Europe,Amsterdam,0 ms,3.35
164.132.80.19,8443,true,LHR,Europe,London,1 ms,3.32
5.161.203.175,2096,true,IAD,North America,Ashburn,1 ms,3.18
172.252.136.105,34237,true,LAX,North America,Los Angeles,1 ms,3.16
45.153.230.41,443,true,FRA,Europe,Frankfurt,3 ms,3.15
209.38.220.119,8443,true,FRA,Europe,Frankfurt,3 ms,3.13
